name_country,name_region,FDI_in,agri_export
Tunisia,Africa,,0.527082907
Turkey,Asia,,0.490824711
Turkmenistan,Asia,,#DIV/0!
Tuvalu,Oceania,,#DIV/0!
Uganda,Africa,,3.734080143
Ukraine,Europe,,1.864325198
United Arab Emirates,Asia,,0.077102149
United Kingdom,Europe,,0.509675019
United States of America,North America,,2.193124834
Uruguay,South America,,15.18074965
Uzbekistan,Asia,,3.847989887
Vanuatu,Oceania,,#DIV/0!
Venezuela,South America,,#N/A
Viet Nam,Asia,,1.8784622
Wallis And Futuna,Oceania,,#N/A
Western Sahara,Africa,,#N/A
Yemen,Asia,,0.017167202
Zambia,Africa,,1.084547542
Zimbabwe,Africa,,2.405355837
Marshall Islands,Oceania,,#DIV/0!
CENTRAL AMERICA-CARIBBEAN,North America,,1.958692727
