"","name_country","name_region.y","wd","summass","n","sumarea","nyear","massperyear","cropcount_spam","name_region","FDI2016","FDI2017","FDI2018","FDI2019","FDI2020","FDI_in","agri_export","GCF","export_value_1000$","export_tonnes","export_agriraw","latitude","averagetemp","mintemp","maxtemp","avgprecipitation","gdp","gdppercapita","agri_gdp","hdi2019","hditier","pop2022","pesticide per cropland","pesticidepercapita","pesiticidepervalueproduction","Npercropland","Npercapita","Npervalueproduction","Ppercropland","Ppercapita","Ppervalueproduction","Kpercropland","Kpercapita","Kpervalueproduction","name_country.y","averageuse","name_country.y.y","averageusepesticide","usefertilizer","ratiopesticide/fertilizer"
"11","Brazil","South America",0.263958529267691,360721.2402,328,6832977.79,5,72144.24804,62,"South America",4.13737853873766,3.33826028428024,4.07748708411665,3.69267330399385,2.60853064048293,3.57086597032227,5.309016718,15.2275178150239,65218208,179502933,1272095.79,"-14.235004",24.819762669765,19.4384838648819,30.2514133541203,1769.56411578847,1775185800274.66,8477.35714950602,4.80212098938208,0.765,"High",215313498,5.944,1.8,1.572,74.376,22.51,19.552,81.164,24.556,21.312,102.612,31.078,27.058,"Brazil",1.572,"Brazil",1.572,15.44,0.101813471502591
"12","Bulgaria","Europe",0.183585001846393,2548.4594,184,69408.297,5,509.69188,79,"Europe",2.75870709167437,3.39072421691432,2.72719509208229,3.22315401161401,5.18606931256905,3.45716994497081,1.170154972,20.262419465685,3912203,9546361,304707.15,"42.733882999999999",10.3126666810777,5.3424444410536,15.3157778633965,749.48444281684,54735759918.3859,7791.10865430288,3.64521021787583,0.816,"Very High",6781953,1.272,0.658,0.894,97.542,50.3,69.27,21.036,10.848,14.948,10.986,5.672,7.8,"Bulgaria",0.894,"Bulgaria",0.894,33.81,0.0264418811002662
"13","Cameroon","Africa",0.33012283599137,203.1282,18,3076.582,5,40.62564,59,"Africa",1.96334938487708,2.25620956446468,1.91398182081519,2.58319634858929,1.65468961886857,2.07428534752296,23.871378,19.0957799712667,1052043,657622,202565.2,"7.3697220000000003",24.1639743340321,18.8540384647174,29.5243589939215,1690.66153951792,35993205755.0823,1426.53528973187,16.9136957852615,0.563,"Medium",27914536,0.87,0.268,0.708,5.71,1.754,4.622,1.518,0.464,1.23,2.886,0.882,2.336,"Cameroon",0.708,"Cameroon",0.708,23.75,0.0298105263157895
"14","Canada","North America",0.218106720148596,53167.9896,187,1219007.018,5,10633.59792,54,"North America",2.23835012140903,1.53752071953934,2.46931207254863,2.78685844027932,1.61408526175543,2.12922532310635,4.344522227,22.9409629274989,35547847,73139361,3046649.13,"56.130366000000002",-7.0340417842793,-11.7667668713667,-2.3131850238035,465.951976551931,1632083375221.61,44029.5641941665,1.81737070060274,0.929,"Very High",38454327,2.246,2.348,1.74,68.784,71.73,53.136,28.112,29.32,21.722,12.72,13.224,9.78,"Canada",1.74,"Canada",1.74,36.78,0.0473083197389886
"15","CENTRAL AMERICA-CARIBBEAN","North America",0.364228663976662,775.568,122,10646.82,5,155.1136,70,"North America",4.1626755229485,2.61966350663195,3.75857577312849,5.19981478617607,5.4816115848892,4.24446823475484,1.958692727,18.5508877338641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Chile","South America",0.415602357631771,9858.6074,286,118610.083,5,1971.72148,65,"South America",4.94532193818291,2.21729324037261,2.62680355492942,4.51805365073962,3.37438737478297,3.53637195180151,6.806729177,23.4474975607961,6280808,3782541,472446.52,"-35.675147000000003",9.62406777921369,4.74359321297478,14.5457287982359,1106.87864212303,253083204028.26,13539.267972381,4.09515547624358,0.851,"Very High",19603733,5.784,0.524,0.784,136.818,12.448,18.526,82.134,7.47,11.114,58.14,5.284,7.862,"Chile",0.784,"Chile",0.784,18.06,0.0434108527131783
"17","China","Asia",0.345690361080974,506038.3384,338,7319264.34,5,101207.66768,103,"Asia",1.55564214957618,1.34913267883946,1.69390529382545,1.31071877840352,1.7231837927804,1.526516538685,0.400343585,43.2111858926227,45064469,34627521,47705428.19,"35.861660000000001",6.33128947326129,0.137976313832363,12.5423473748305,533.288973411259,13373133346903.2,9540.53426185618,7.48124111979252,0.761,"High",1425887337,2.212,0.206,0.334,208.246,19.376,31.45,82.468,7.674,12.458,80.204,7.462,12.114,"China",0.334,"China",0.334,8.68,0.0384792626728111
"18","Colombia","South America",0.483363513096877,17608.0406,219,182140.824,5,3521.60812,68,"South America",4.8998275387021,4.39294490125625,3.38083576651695,4.32953910442896,2.75938788621275,3.9525070394234,4.275397108,21.3174467039757,5495839,4968922,365839.88,"4.5708679999999999",24.4766129652659,19.6337096819314,29.3696236251503,2626.78226298671,306978395742.863,6191.14186619913,6.60467480630963,0.767,"High",51874024,0,0.862,1.814,65.424,9.868,20.798,32.252,4.78,10.064,59.09,8.688,18.292,"Colombia",1.814,"Colombia",1.814,35.81,0.0506562412733873
"19","Costa Rica","North America",0.84360966909062,6988.6618,171,41421.31,5,1397.73236,52,"North America",4.45296238746116,4.83327530595031,4.82943871297369,4.22094019534647,3.38331924037636,4.3439871684216,1.926722037,17.438333150011,4049817,6348504,131009.1,"9.7489170000000005",24.4109998703003,20.6704999923706,28.2030002593994,3425.75003662109,61818973007.7318,12367.2690491731,4.54285685896666,0.81,"Very High",5180829,0,0,2.598,164.776,18.968,20.72,29.37,3.37,3.69,79.562,9.156,10,"Costa Rica",2.598,"Costa Rica",2.598,31.64,0.0821112515802781
"20","Croatia","Europe",0.281416731429736,924.3326,192,16424.484,5,184.86652,65,"Europe",0.822157033779655,0.818580275508292,2.11957998153972,6.27203131299435,2.06063754267705,2.41859722929981,4.527675315,22.4604628326817,1294804,3010554,272850.68,"45.1",9.88679983139038,4.82759999275208,14.9780000305176,1104.21999755859,54131470007.2818,13207.0946851044,3.00157342352439,0.851,"Very High",4030358,1.816,0.4,0.702,102.224,22.45,39.988,33.56,7.358,13.292,41.568,9.118,16.436,"Croatia",0.702,"Croatia",0.702,18.97,0.0370057986294149
"21","Cuba","North America",0.454561613036903,2069.2782,82,22765.406,5,413.85564,41,"North America",3.40820855496215,3.04090234064265,3.34986981608252,2.93563062954365,2.33546643337817,3.01401555492183,NA,10.6524501206709,212573,635590,43356.15,"21.521757000000001",24.0272223684523,18.8644445207384,29.2383334371779,1556.90278116862,87997934917.4312,7763.60399263103,3.57047257766154,0.783,"High",11212191,NA,NA,NA,12.522,3.91,10.058,3.206,0.998,2.51,8.124,2.538,6.544,NA,NA,NA,NA,NA,NA
"22","Czech Republic","Europe",0.17991864363839,3388.0194,275,94154.272,5,677.60388,57,"Europe",5.52835275386419,5.13872541173649,3.34391039785703,4.25829887665939,3.47089970569426,4.34803742916227,1.295544439,26.6261146178857,4013557,6513308,1154742.4,"49.817492000000001",6.70649998188019,2.24275000095367,11.1867499828339,645.685006713867,204703710554.398,19251.7069974439,1.97164207447482,0.9,"Very High",10493986,1.608,0.384,0.728,137.156,32.63,61.864,20.48,4.87,9.268,11.696,2.784,5.262,"Czechia",0.728,"Czechia",0.728,55.5,0.0131171171171171
"23","Denmark","Europe",0.112886595856635,2216.6332,119,98180.157,5,443.32664,42,"Europe",2.49237426030716,1.08613294747868,2.45600096718496,-1.09383100209731,0.444478741063032,1.0770311827873,2.668056372,22.2636231153837,4370428,4069413,2195536.94,"56.263919999999999",7.75259261661106,4.58518518341912,10.9525926378038,612.699997513383,324779453757.535,56122.1238842763,1.16417761618181,0.94,"Very High",5882261,1.142,0.478,0.29,96.342,40.31,24.476,15.322,6.41,3.884,30.202,12.628,7.644,"Denmark",0.29,"Denmark",0.29,32.35,0.0089644513137558
"24","Dominican Republic","North America",0.341197819098395,3110.0598,171,45575.096,5,622.01196,50,"North America",3.32357083376019,4.49748880772504,3.20786379861054,3.18097442749009,3.12081842826935,3.46614325917104,0.575235295,24.524979039196,1059539,1252409,170518.5,"18.735693000000001",23.4471428734916,17.6228570256914,29.3178570611136,1668.27142333984,82583542849.6852,7769.34064701162,5.45329782751197,0.756,"High",11228821,5.504,0.638,1.31,65.748,7.612,15.594,21.444,2.482,5.082,39.606,4.588,9.412,"Dominican Republic",1.31,"Dominican Republic",1.31,20.32,0.0644685039370079
"25","Ecuador","South America",0.558839356488913,15339.0174,191,137239.003,5,3067.80348,75,"South America",0.764611251516385,0.603626452849296,1.29125217069229,0.901430435411152,1.11161789322076,0.934507640737977,5.49833097,25.1917430385031,5656036,8495389,191188,"-1.8312390000000001",21.1693975149867,15.2057830684156,27.1824095622603,2430.42772665369,99128417586.9455,5809.93645729557,9.28816141228591,0.759,"High",18001000,15.05,2.142,4.416,85.164,12.102,24.984,21.804,3.098,6.4,48.622,6.906,14.26,"Ecuador",4.416,"Ecuador",4.416,32.46,0.136044362292052
"26","Egypt","Africa",1.16492272903154,14858.5364,205,63774.807,5,2971.70728,74,"Africa",2.43856278142762,3.1428260518732,3.2602627890206,2.97283696285301,1.6021238941076,2.68332249585641,1.839047942,15.795246024791,4221470,6932722,2222771.61,"26.820553",22.0998910389414,14.6824795751546,29.5666212710763,26.4182561937446,377820009282.872,3835.22129295992,11.4192376965697,0.707,"High",110990103,2.708,0.106,0.308,327.826,12.882,37.036,59.962,2.358,6.772,28.118,1.104,3.19,"Egypt",0.308,"Egypt",0.308,72,0.00427777777777778
"27","El Salvador","North America",0.387468628925561,1860.7798,130,24012.139,5,372.15596,41,"North America",1.98198031581358,2.01688451540263,1.58620478716365,2.58874905939536,1.51391280747256,1.93754629704956,0.787717357,17.1602463934021,699918,1256392,208038.43,"13.794185000000001",24.3200000127157,18.0416666666667,30.6533330281576,1715.68330891927,24623170430.2572,3834.97234590105,5.24764587439138,0.673,"Medium",6336392,2.962,0.406,1.624,45.778,6.28,25.104,12.918,1.774,7.092,13.112,1.8,7.194,"El Salvador",1.624,"El Salvador",1.624,39.91,0.0406915560010023
"28","Estonia","Europe",0.156037774187112,292.87075,101,7507.738,4,73.2176875,33,"Europe",3.8456728374778,6.44685216619255,4.04250268791943,9.86641705673578,11.5372081232553,7.14773057431617,7.092919485,26.9483691023972,730843,1566283,811477.82,"58.595272000000001",5.35000001059638,1.1022222119349,9.61074076758491,466.811110885055,25593251456.4133,19352.3091893302,2.27969905496349,0.892,"Very High",1326062,0.98,0.516,0.73,56.322,29.57,41.84,13.494,7.082,10,17.574,9.224,13.056,"Estonia",0.73,"Estonia",0.73,40.53,0.0180113496175672
"29","Ethiopia","Africa",0.0705120259231846,31.624,8,448.556,1,31.624,64,"Africa",5.57621272833279,4.91270717554002,3.98771253765884,2.65736063499647,2.22538575066647,3.87187576543892,4.607541218,35.2729058055142,1391700,931882,67362.82,"9.1449999999999996",22.9418716354166,16.3831015844396,29.5504010195401,868.82780827813,83111574077.8705,758.84040324738,33.7777118911296,0.485,"Low",123379924,0.232,0.04,0.218,22.166,3.628,20.93,9.566,1.568,9.05,0.066,0.01,0.064,"Ethiopia",0.218,"Ethiopia",0.218,16.92,0.0128841607565012
"30","Finland","Europe",0.146829748893819,754.9886,135,25709.403,5,150.99772,36,"Europe",2.1281913787807,6.70809995996687,-3.83428376041325,5.81422412967427,-0.871433103865679,1.98895972082858,7.330821969,24.2266905449864,518393,998645,1283383.07,"61.924109999999999",1.25620408318177,-3.21289795641692,5.72763266636401,409.643265580158,249048808117.344,45165.2429555573,2.36235091080979,0.938,"Very High",5540745,1.988,0.81,1.432,62.422,25.414,44.918,11.418,4.646,8.218,17.086,6.954,12.31,"Finland",1.432,"Finland",1.432,13.62,0.105139500734214
"31","France","Europe",0.34152539268125,52529.6982,347,769047.479,5,10505.93964,81,"Europe",1.32649169812718,1.38212038996387,2.77657814362355,1.96049400180615,0.559831722979071,1.60110319129996,0.936139822,23.6158698746063,28258424,49813437,5775374.04,"46.227637999999999",9.63747081914301,5.04891050673644,14.263112841877,807.2642005297,2517169650939.53,37528.2086321608,1.54954119522668,0.901,"Very High",64626628,3.618,1.068,1.194,112.754,33.326,37.162,22.514,6.65,7.424,23.602,6.968,7.784,"France",1.194,"France",1.194,166.08,0.0071893063583815
"32","Germany","Europe",0.180429108747831,22321.1272,276,618579.858,5,4464.22544,55,"Europe",1.86485671126252,2.96695451159586,4.19553156536299,1.84345769492956,3.71199074700913,2.91655824603201,0.760282951,21.2249015565625,32201106,36614935,11609846.9,"51.165691000000002",7.88287295557517,3.85966850446733,11.9350276388516,679.44696112364,3511161688823.29,42387.8481738704,0.750698334750394,0.947,"Very High",83369843,3.916,0.56,0.922,119.61,17.194,28.102,18.12,2.602,4.262,35.17,5.05,8.276,"Germany",0.922,"Germany",0.922,94.24,0.00978353140916808
"33","Ghana","Africa",0.28725271842144,3018.071,63,52532.675,5,603.6142,43,"Africa",6.20550634742156,5.38848685157722,4.44140705490139,5.67745282272176,2.67803720912029,4.87817805714844,2.262144973,21.5384429768876,2663243,1659362,297267.9,"7.9465269999999997",27.0744736571061,21.9909209954111,32.2126317024231,1281.0355280826,58039936189.8589,1946.80388400804,18.9439132156026,0.611,"Medium",33475870,1.84,0.324,0.762,14.6,2.544,5.984,9.39,1.63,3.836,8.916,1.556,3.664,"Ghana",0.762,"Ghana",0.762,40.12,0.0189930209371884
"34","Greece","Europe",0.700506475840947,8836.892,234,63076.333,5,1767.3784,83,"Europe",1.39713720263227,1.7209047520311,1.89835335150905,2.43713306986596,1.74948780989098,1.84060323718587,1.829572363,13.1226230427886,4910677,4477680,462457.84,"39.074207999999999",13.4694736714949,8.4571929981834,18.5305262448495,808.698247541461,196170836160.066,18270.0471895252,3.80351345473738,0.888,"Very High",10384971,3.124,0.956,0.908,57.42,17.628,16.682,17.762,5.452,5.16,15.06,4.622,4.376,"Greece",0.908,"Greece",0.908,56.82,0.0159802886307638
"35","Guatemala","North America",0.651139380503117,8499.7896,180,65268.351,5,1699.95792,57,"North America",1.28045247920901,1.39328243744598,1.25995863140534,1.52007092823832,1.29421611324371,1.34959611790847,2.891987058,13.6999594375521,5449794,7961772,283833.91,"15.783471",23.0797368099815,17.6952632351925,28.5128946806255,2139.05001509817,67573775750.099,4133.14764157726,9.69810413394266,0.663,"Medium",17843908,5.7,0.676,1.324,87.56,10.372,20.304,25.646,3.03,5.942,35.54,4.208,8.246,"Guatemala",1.324,"Guatemala",1.324,81.6,0.0162254901960784
"36","Honduras","North America",0.548583020992056,2572.5818,167,23447.536,5,514.51636,50,"North America",5.28156557023951,4.10592326395368,5.99385418561572,3.80668065182598,0.990508825556457,4.03570649943827,1.336151787,23.2671243959137,2255106,2530157,149652.75,"15.199999",24.0576923076923,19.3276922274859,28.8364103268354,1894.73846279046,22983237804.2672,2397.67141974034,11.8401322681862,0.634,"Medium",10432860,5.152,0.852,2.4,63.128,10.474,29.356,21.572,3.578,10.05,26.746,4.43,12.458,"Honduras",2.4,"Honduras",2.4,51.67,0.0464486162183085
"37","Hungary","Europe",0.264501546824576,6558.1612,278,123977.407,5,1311.63224,77,"Europe",54.1692462363973,-8.47657785213036,-40.0810562590773,60.2358611010094,109.330636536276,35.035621952495,0.614533969,25.4476519266471,5698963,12936451,810029.88,"47.162494000000002",9.95466658274333,4.9117777718438,15.0311111238268,589.157775878906,137863325606.58,14097.9829748954,3.57042443154639,0.854,"Very High",9967308,2.012,0.918,0.956,95.574,43.552,45.372,25.144,11.468,11.954,23.588,10.768,11.206,"Hungary",0.956,"Hungary",0.956,30.87,0.0309685779073534
"38","India","Asia",0.214525804676401,102726.2378,231,2394326.026,5,20545.24756,76,"Asia",1.93736319812939,1.50731658089818,1.55821479344505,1.78738173893008,2.41266468032853,1.84058819834625,1.42099851,30.3230819316608,33873892,52427857,4768830.7,"20.593684",23.8633720866889,17.8689892655622,29.9050983979612,1001.45295023364,2498519515100.86,1846.68329204378,16.7823789853985,0.645,"Medium",1417173173,0.364,0.044,0.146,107.302,13.388,43.578,43.79,5.46,17.772,16.418,2.048,6.67,"India",0.146,"India",0.146,19.48,0.00749486652977413
"39","Indonesia","Asia",0.321377829646248,36898.0452,217,574064.444,5,7379.60904,53,"Asia",0.487372471295636,2.01948920129522,1.81428979693517,2.23336204897898,1.81120979974827,1.67314466365066,5.292674523,33.6549305837751,29610813,40833745,3327555.6,"-0.78927499999999995",25.3768590755495,20.7359592133346,30.0683021674941,2717.41578640638,986074732538.818,3682.811406268,13.1717891232277,0.718,"High",275501339,0.03,0.01,0.02,61.398,11.668,31.684,27.258,5.19,14.092,36.932,7.03,19.038,"Indonesia",0.02,"Indonesia",0.02,27.29,0.000732869182850861
"40","Iran (Islamic Republic of)","Asia",0.499999804836537,426.5656,1,4265.655,5,85.31312,77,"Asia",0.736317507426721,1.0313787661286,0.716936645065775,0.517567581681818,0.579578525834024,0.716355805227388,0.361133136,30.8142009069069,2303434,3385119,718473.02,"32.427908000000002",17.5894408903945,10.4835623032369,24.7391852799315,218.332268632639,446986383846.55,5467.42548591202,11.4955970962438,0.783,"High",88550570,0.354,0.076,0.154,41.922,8.814,18.362,6.356,1.336,2.772,3.29,0.69,1.448,"Iran (Islamic Republic of)",0.154,"Iran (Islamic Republic of)",0.154,19.49,0.00790148794253463
"41","Ireland","Europe",0.213243089971976,775.9712,103,18194.521,5,155.19424,31,"Europe",34.4282353909323,17.3808735703701,17.4946584687148,-11.6839510353976,7.61975327542122,13.0479139340082,0.374945648,39.2739648916375,2674831,1625746,631927.67,"53.412909999999997",8.78846146510198,5.16897433843368,12.4558974045974,1058.41282301683,347677908261.674,71295.2117608945,0.969563213880178,0.955,"Very High",5023109,6.198,0.582,0.354,174.316,77.346,47.232,61.392,26.172,15.974,132.624,33.638,20.526,"Ireland",0.354,"Ireland",0.354,4.65,0.0761290322580645
"42","Israel","Asia",1.46426803497836,6430.0198,293,21956.888,5,1286.00396,66,"Asia",3.75770610313262,4.75473767589948,5.75806351489424,4.36315417984877,5.9649118307083,4.91971466089668,0.669398308,21.4867415928698,1598233,1034849,834678.36,"31.046050999999999",18.6571431841169,12.2671428407942,25.0985715048654,208.142856052944,335881523759.702,37803.2377763869,1.18509817018102,0.919,"Very High",9038309,14.81,0.816,1.594,102.494,5.64,10.986,14.054,0.774,1.512,74.2125,4.09,7.9275,"Israel",1.594,"Israel",1.594,45.76,0.0348339160839161
"43","Italy","Europe",1.04861027100746,49788.939,309,237407.081,5,9957.7878,83,"Europe",1.36684517505744,0.567766926666821,2.11525548165585,1.55051138371564,-1.16724320716093,0.886627151986964,0.702254139,18.0172016929253,23084759,14373331,6145913.45,"41.871940000000002",11.1608396774826,7.03992362718546,15.3199236829772,1013.51221029267,1864912004999.04,31000.2454202181,1.95273964967713,0.892,"Very High",59037474,5.992,0.91,1.414,64.404,9.804,15.214,19.332,2.944,4.568,12.716,1.938,3.004,"Italy",1.414,"Italy",1.414,33.37,0.042373389271801
"44","Ivory Coast","Africa",0.325771749653072,6170.1692,66,94703.283,5,1234.03384,51,"Africa",1.20479671875659,1.88999767201244,1.06932420831873,1.45010160325616,1.16207400513187,1.35525884149516,9.159069717,21.0533722681473,7517864,4838474,87667.1,"7.5399890000000003",26.4967856066568,21.419107062476,31.6240178516933,1327.5124936785,55813375797.8403,2221.55516034757,20.2166080618099,0.538,"Low",28160542,0.006,0,0.006,6.192,1.964,4.124,6.006,1.912,4.034,6.876,2.194,4.624,"Côte d'Ivoire",0.006,"Côte d'Ivoire",0.006,15.15,0.000396039603960396
"45","Japan","Asia",1.53044437397368,59513.4738,375,194433.813,5,11902.69476,69,"Asia",0.818481615264516,0.381319638034274,0.501988769673437,0.779973898912205,1.22050812084511,0.740454408545908,0.679453614,25.3753851182186,3346720,655171,9137661.59,"36.204824000000002",10.1313333547477,5.83157575184649,14.4623636101231,1641.99514752012,4508830022300.65,35571.7810326004,1.0750025612029,0.919,"Very High",123951692,11.744,0.408,1.94,84.772,2.946,14.02,77.112,2.682,12.752,61.248,2.128,10.128,"Japan",1.94,"Japan",1.94,20.97,0.0925131139723414
"46","Kazakhstan","Asia",0.100449772709609,6749.0844,186,335954.149,5,1349.81688,58,"Asia",12.5466202801439,2.8520571787889,0.196995407987547,2.05367643388584,4.20518801756716,4.37090746367467,0.273028574,27.1169734800619,2882438,10739093,231620.18,"48.019573000000001",5.57765283495891,-0.177622642214849,11.344528292395,267.809207896107,199885801133.58,10933.0473817021,4.66529311308519,0.825,"Very High",19397998,0.436,0.706,0.786,2.652,4.314,4.79,1.6,2.584,2.852,0.076,0.122,0.138,"Kazakhstan",0.786,"Kazakhstan",0.786,71.59,0.0109791870372957
"47","Kenya","Africa",0.231404020018524,808.0116,94,17463.825,5,161.60232,77,"Africa",0.627591458025454,1.64085110521414,0.832686431508354,0.468162589298899,0.423482497895464,0.798554816388462,12.62715937,19.6825704799366,2387202,1535589,283095.13,"-2.3559E-2",24.3490957402168,18.4765957441736,30.2732445838604,659.499999269526,79487749921.954,1545.29862003712,20.9450473849965,0.601,"Medium",54027487,0.25,0.03,0.134,22.974,2.822,12.322,23.228,2.856,12.496,5.498,0.676,2.966,"Kenya",0.134,"Kenya",0.134,8.4,0.015952380952381
