CROPNAME,Cropname_FAO,GROUP,GROUP2
quince,Quinces,Fruit,stonefruitnes
quinoa,Quinoa,Cereals,cerealnes
ramie,Ramie,Fiber,fibrenes
rapeseed,Rapeseed,Oilcrops,oilseednes
rasberry,Raspberries,Fruit,berrynes
rice,"Rice, paddy",Cereals,cerealnes
rootnes,"Roots and Tubers, nes",Roots&Tubers,rootnes
rubber,Natural,OtherCrops,othercrop
rye,Rye,Cereals,cerealnes
ryefor,ryefor,Forage,
safflower,Safflower seed,Oilcrops,oilseednes
sesame,Sesame seed,Oilcrops,oilseednes
sisal,Sisal,Fiber,fibrenes
sorghum,Sorghum,Cereals,cerealnes
sorghumfor,sorghumfor,Forage,
sourcherry,Sour cherries,Fruit,stonefruitnes
soybean,Soybeans,Oilcrops,soybean
spicenes,"Spices, nes",OtherCrops,othercrop
spinach,Spinach,Vegetables&Melons,vegetablenes
stonefruitnes,"Stone fruit, nes",Fruit,stonefruitnes
strawberry,Strawberries,Fruit,berrynes
stringbean,String beans,Vegetables&Melons,vegetablenes
sugarbeet,Sugar beet,SugarCrops,sugarnes
sugarcane,Sugar cane,SugarCrops,sugarnes
sugarnes,"Sugar crops, nes",SugarCrops,sugarnes
sunflower,Sunflower seed,Oilcrops,oilseednes
swedefor,swedefor,Forage,
sweetpotato,Sweet potatoes,Roots&Tubers,rootnes
tangetc,"Tangerines, mandarins, clem.",Fruit,citrusnes
taro,Taro (cocoyam),Roots&Tubers,rootnes
tea,Tea,OtherCrops,othercrop
tobacco,"Tobacco, unmanufactured",OtherCrops,othercrop
tomato,Tomatoes,Vegetables&Melons,vegetablenes
triticale,Triticale,Cereals,cerealnes
tropicalnes,"Fruit, tropical fresh nes",Fruit,tropicalnes
tung,Tung Nuts,Oilcrops,oilseednes
turnipfor,turnipfor,Forage,
vanilla,Vanilla,OtherCrops,othercrop
vegetablenes,Vegetables fresh nes,Vegetables&Melons,vegetablenes
vegfor,vegfor,Forage,
vetch,Vetches,Pulses,pulsenes
walnut,"Walnuts, with shell",Treenuts,nutnes
watermelon,Watermelons,Vegetables&Melons,vegetablenes
wheat,Wheat,Cereals,cerealnes
yam,Yams,Roots&Tubers,rootnes
yautia,Yautia (cocoyam),Roots&Tubers,rootnes
